recording_id,t,ball_id,x,y
rec_1,0.05,0,236.74,61.51
rec_1,0.05,1,110.96,220.98
rec_1,0.05,2,51.47,90.45
rec_1,0.05,3,230.51,245.81
rec_1,0.05,4,156.29,83.94
rec_1,0.05,5,329.91,137.95
rec_1,0.05,6,249.11,140.7
rec_1,0.05,7,330.65,269.18
rec_1,0.05,8,273.46,267.89
rec_1,0.05,9,203.8,298.05
rec_1,0.1,0,235.56,68.92
rec_1,0.1,1,107.63,214.26
rec_1,0.1,2,47.06,84.39
rec_1,0.1,3,238.0,246.1
rec_1,0.1,4,163.52,81.95
rec_1,0.1,5,322.81,135.54
rec_1,0.1,6,255.55,136.86
rec_1,0.1,7,330.02,276.66
rec_1,0.1,8,267.23,272.07
rec_1,0.1,9,199.39,304.11
rec_1,0.15,0,234.39,76.32
rec_1,0.15,1,104.29,207.54
rec_1,0.15,2,42.64,78.32
rec_1,0.15,3,245.5,246.3
rec_1,0.15,4,170.75,79.96
rec_1,0.15,5,315.71,133.14
rec_1,0.15,6,262.0,133.03
rec_1,0.15,7,329.39,284.13
rec_1,0.15,8,261.08,276.37
rec_1,0.15,9,194.99,310.18
rec_1,0.2,0,233.21,83.73
rec_1,0.2,1,100.96,200.82
rec_1,0.2,2,38.23,72.26
rec_1,0.2,3,253.0,246.27
rec_1,0.2,4,177.98,77.97
rec_1,0.2,5,308.61,130.73
rec_1,0.2,6,268.44,129.19
rec_1,0.2,7,328.76,291.6
rec_1,0.2,8,255.08,280.86
rec_1,0.2,9,190.58,316.25
rec_1,0.25,0,232.04,91.14
rec_1,0.25,1,97.63,194.11
rec_1,0.25,2,33.82,66.19
rec_1,0.25,3,260.49,246.0
rec_1,0.25,4,185.21,75.98
rec_1,0.25,5,301.52,128.28
rec_1,0.25,6,274.85,125.28
rec_1,0.25,7,328.13,299.08
rec_1,0.25,8,249.2,285.52
rec_1,0.25,9,186.17,322
rec_1,0.3,0,230.86,98.55
rec_1,0.3,1,94.29,187.39
rec_1,0.3,2,29.4,60.13
rec_1,0.3,3,267.98,245.63
rec_1,0.3,4,192.44,73.98
rec_1,0.3,5,294.45,125.75
rec_1,0.3,6,281.11,121.16
rec_1,0.3,7,327.5,306.55
rec_1,0.3,8,243.36,290.23
rec_1,0.3,9,181.77,315.93
rec_1,0.35,0,229.71,105.96
rec_1,0.35,1,90.96,180.67
rec_1,0.35,2,24.99,54.07
rec_1,0.35,3,275.47,245.26
rec_1,0.35,4,199.66,71.98
rec_1,0.35,5,287.38,123.28
rec_1,0.35,6,287.05,116.58
rec_1,0.35,7,326.87,314.02
rec_1,0.35,8,237.52,294.94
rec_1,0.35,9,177.36,309.86
rec_1,0.4,0,228.57,113.37
rec_1,0.4,1,87.63,173.95
rec_1,0.4,2,20.58,48.0
rec_1,0.4,3,282.96,244.88
rec_1,0.4,4,206.88,69.95
rec_1,0.4,5,280.12,121.38
rec_1,0.4,6,292.65,111.59
rec_1,0.4,7,326.24,321.5
rec_1,0.4,8,231.69,299.65
rec_1,0.4,9,172.95,303.79
rec_1,0.45,0,227.44,120.78
rec_1,0.45,1,84.29,167.23
rec_1,0.45,2,19.47,41.94
rec_1,0.45,3,290.45,244.5
rec_1,0.45,4,214.1,67.92
rec_1,0.45,5,272.76,119.96
rec_1,0.45,6,298.25,106.61
rec_1,0.45,7,325.61,317.02
rec_1,0.45,8,225.85,304.36
rec_1,0.45,9,168.55,297.73
rec_1,0.5,0,226.27,128.19
rec_1,0.5,1,80.96,160.51
rec_1,0.5,2,23.88,35.87
rec_1,0.5,3,297.94,244.13
rec_1,0.5,4,221.32,65.88
rec_1,0.5,5,265.35,118.76
rec_1,0.5,6,303.9,101.68
rec_1,0.5,7,324.98,309.54
rec_1,0.5,8,220.02,309.07
rec_1,0.5,9,164.14,291.66
rec_1,0.55,0,224.98,135.58
rec_1,0.55,1,77.63,153.8
rec_1,0.55,2,28.3,29.81
rec_1,0.55,3,305.44,243.75
rec_1,0.55,4,228.54,63.85
rec_1,0.55,5,257.95,117.56
rec_1,0.55,6,309.58,96.77
rec_1,0.55,7,324.35,302.07
rec_1,0.55,8,214.18,313.78
rec_1,0.55,9,159.73,285.59
rec_1,0.6,0,223.56,142.95
rec_1,0.6,1,74.29,147.08
rec_1,0.6,2,32.71,23.74
rec_1,0.6,3,312.93,243.37
rec_1,0.6,4,235.76,61.82
rec_1,0.6,5,250.57,116.25
rec_1,0.6,6,315.25,91.87
rec_1,0.6,7,323.72,294.6
rec_1,0.6,8,208.35,318.49
rec_1,0.6,9,155.32,279.52
rec_1,0.65,0,222.04,150.29
rec_1,0.65,1,70.96,140.36
rec_1,0.65,2,37.12,18
rec_1,0.65,3,320.42,242.99
rec_1,0.65,4,242.98,59.79
rec_1,0.65,5,243.21,114.8
rec_1,0.65,6,320.92,86.96
rec_1,0.65,7,323.09,287.12
rec_1,0.65,8,202.51,322
rec_1,0.65,9,150.92,273.45
rec_1,0.7,0,220.48,157.63
rec_1,0.7,1,67.63,133.64
rec_1,0.7,2,41.53,24.06
rec_1,0.7,3,327.9,242.56
rec_1,0.7,4,250.2,57.76
rec_1,0.7,5,235.87,113.25
rec_1,0.7,6,326.59,82.05
rec_1,0.7,7,322.46,279.65
rec_1,0.7,8,196.67,317.29
rec_1,0.7,9,146.51,267.38
rec_1,0.75,0,218.92,164.96
rec_1,0.75,1,64.29,126.92
rec_1,0.75,2,45.95,30.13
rec_1,0.75,3,335.38,241.95
rec_1,0.75,4,257.42,55.73
rec_1,0.75,5,228.53,111.69
rec_1,0.75,6,332.27,77.15
rec_1,0.75,7,321.77,272.18
rec_1,0.75,8,190.84,312.58
rec_1,0.75,9,142.1,261.31
rec_1,0.8,0,217.36,172.3
rec_1,0.8,1,60.96,120.2
rec_1,0.8,2,50.36,36.19
rec_1,0.8,3,342.83,241.11
rec_1,0.8,4,264.64,53.7
rec_1,0.8,5,221.2,110.13
rec_1,0.8,6,337.94,72.24
rec_1,0.8,7,320.95,264.73
rec_1,0.8,8,185.0,307.87
rec_1,0.8,9,137.7,255.24
rec_1,0.85,0,215.8,179.63
rec_1,0.85,1,57.63,113.48
rec_1,0.85,2,54.77,42.26
rec_1,0.85,3,350.26,240.08
rec_1,0.85,4,271.86,51.67
rec_1,0.85,5,213.86,108.56
rec_1,0.85,6,343.61,67.34
rec_1,0.85,7,319.91,257.3
rec_1,0.85,8,179.17,303.16
